Time [s],PIN 0,TX
1.369297292,1,0
1.369360500,0,0
1.369517500,0,1
1.369986417,0,0
1.370425750,1,0
1.370489000,0,0
1.370645917,0,1
1.371114708,0,0
1.371554208,1,0
1.371617458,0,0
1.371774417,0,1
1.372243125,0,0
1.372682708,1,0
1.372745917,0,0
1.372902917,0,1
1.373371708,0,0
1.373811125,1,0
1.373874375,0,0
1.374031125,0,1
1.374499833,0,0
1.374939542,1,0
1.375002750,0,0
1.375159583,0,1
1.375628750,0,0
1.376068042,1,0
1.376131250,0,0
1.376288125,0,1
1.376757042,0,0
1.377196500,1,0
1.377259750,0,0
1.377416583,0,1
1.377885458,0,0
1.378324958,1,0
1.378388208,0,0
1.378545250,0,1
1.379014542,0,0
1.379453292,1,0
1.379516542,0,0
1.379673167,0,1
1.380142417,0,0
1.380581833,1,0
1.380645000,0,0
1.380801750,0,1
1.381270667,0,0
1.381710250,1,0
1.381773458,0,0
1.381930167,0,1
1.382399542,0,0
1.382838708,1,0
1.382901958,0,0
1.383058667,0,1
1.383527333,0,0
1.383967167,1,0
1.384030417,0,0
1.384187333,0,1
1.384656042,0,0
1.385095625,1,0
1.385158875,0,0
1.385315625,0,1
1.385784958,0,0
1.386224000,1,0
1.386287250,0,0
1.386444167,0,1
1.386913500,0,0
1.387352458,1,0
1.387415708,0,0
1.387572583,0,1
1.388041708,0,0
1.388480917,1,0
1.388544167,0,0
1.388700792,0,1
1.389170042,0,0
1.389609417,1,0
1.389672708,0,0
1.389829917,0,1
1.390298792,0,0
1.390737833,1,0
1.390801125,0,0
1.390957958,0,1
1.391426833,0,0
1.391866167,1,0
1.391929417,0,0
1.392086583,0,1
1.392556000,0,0
1.392994667,1,0
1.393057917,0,0
1.393215042,0,1
1.393684125,0,0
1.394123042,1,0
1.394186292,0,0
1.394343250,0,1
1.394812375,0,0
1.395251583,1,0
1.395314833,0,0
1.395471667,0,1
1.395940917,0,0
1.396380042,1,0
1.396443250,0,0
1.396599917,0,1
1.397069042,0,0
1.397508458,1,0
1.397571667,0,0
1.397728333,0,1
1.398197500,0,0
1.398637000,1,0
1.398700250,0,0
1.398857292,0,1
1.399326208,0,0
1.399765417,1,0
1.399828667,0,0
1.399985625,0,1
1.400454750,0,0
1.400893750,1,0
1.400957000,0,0
1.401113750,0,1
1.401582667,0,0
1.402022292,1,0
1.402085542,0,0
1.402242375,0,1
1.402711500,0,0
1.403150750,1,0
1.403214000,0,0
1.403370708,0,1
1.403839500,0,0
1.404279208,1,0
1.404342458,0,0
1.404499250,0,1
1.404968000,0,0
1.405407625,1,0
1.405470875,0,0
1.405627708,0,1
1.406096250,0,0
1.406536042,1,0
1.406599292,0,0
1.406756042,0,1
1.407225458,0,0
1.407664500,1,0
1.407727708,0,0
1.407884375,0,1
1.408353708,0,0
1.408792917,1,0
1.408856167,0,0
1.409012958,0,1
1.409482208,0,0
