Time [s],PIN 0,TX
1.433247542,0,1
1.433888542,0,0
1.435360750,1,0
1.435434958,0,0
1.435591208,0,1
1.436231875,0,0
1.437704458,1,0
1.437778708,0,0
1.437938333,0,1
1.438579375,0,0
1.440048208,1,0
1.440122417,0,0
1.440278583,0,1
1.440919458,0,0
1.442391875,1,0
1.442466083,0,0
1.442622458,0,1
1.443263292,0,0
1.444735500,1,0
1.444809750,0,0
1.444966167,0,1
1.445606917,0,0
1.447079208,1,0
1.447153417,0,0
1.447309708,0,1
1.447950500,0,0
1.449422958,1,0
1.449497167,0,0
1.449656917,0,1
1.450298083,0,0
1.451766708,1,0
1.451840917,0,0
1.451997333,0,1
1.452638208,0,0
1.454110375,1,0
1.454184625,0,0
1.454340833,0,1
1.454981792,0,0
1.456454000,1,0
1.456528208,0,0
1.456687958,0,1
1.457328875,0,0
1.458797750,1,0
1.458872000,0,0
1.459028250,0,1
1.459669292,0,0
1.461141458,1,0
1.461215667,0,0
1.461371958,0,1
1.462013042,0,0
1.463485167,1,0
1.463559417,0,0
1.463715542,0,1
1.464356500,0,0
1.465828875,1,0
1.465903083,0,0
1.466059417,0,1
1.466700542,0,0
1.468172458,1,0
1.468246667,0,0
1.468403125,0,1
1.469044083,0,0
1.470516167,1,0
1.470590375,0,0
1.470746583,0,1
1.471387667,0,0
1.472859958,1,0
1.472934167,0,0
1.473090333,0,1
1.473731208,0,0
1.475203625,1,0
1.475277833,0,0
1.475437625,0,1
1.476078625,0,0
1.477547333,1,0
1.477621542,0,0
1.477777625,0,1
1.478418667,0,0
1.479891000,1,0
1.479965208,0,0
1.480121375,0,1
1.480762292,0,0
1.482234667,1,0
1.482308875,0,0
1.482465083,0,1
1.483106125,0,0
1.484578333,1,0
1.484652542,0,0
1.484809208,0,1
1.485450125,0,0
1.486922000,1,0
1.486996208,0,0
1.487152375,0,1
1.487793250,0,0
1.489265750,1,0
1.489339958,0,0
1.489496292,0,1
1.490137333,0,0
1.491609500,1,0
1.491683708,0,0
1.491839917,0,1
1.492481000,0,0
1.493953167,1,0
1.494027375,0,0
1.494183792,0,1
1.494824917,0,0
1.496296875,1,0
1.496371125,0,0
1.496527458,0,1
1.497168333,0,0
1.498640500,1,0
1.498714708,0,0
1.498870875,0,1
1.499512042,0,0
1.500984250,1,0
1.501058500,0,0
1.501214667,0,1
1.501855583,0,0
1.503327958,1,0
1.503402167,0,0
1.503558375,0,1
1.504199292,0,0
1.505671583,1,0
1.505745833,0,0
1.505905417,0,1
1.506546667,0,0
1.508015292,1,0
1.508089542,0,0
1.508245750,0,1
1.508886375,0,0
1.510359042,1,0
1.510433250,0,0
1.510589458,0,1
1.511230208,0,0
1.512702750,1,0
1.512776958,0,0
1.512933333,0,1
1.513574167,0,0
1.515046458,1,0
1.515120667,0,0
1.515276833,0,1
1.515917583,0,0
1.517390125,1,0
1.517464333,0,0
1.517620542,0,1
1.518261458,0,0
1.519733833,1,0
1.519808083,0,0
1.519964500,0,1
1.520605625,0,0
1.522077458,1,0
1.522151667,0,0
1.522308208,0,1
1.522949042,0,0
1.524421250,1,0
1.524495458,0,0
1.524651917,0,1
1.525292792,0,0
1.526764917,1,0
1.526839167,0,0
1.526995375,0,1
1.527636292,0,0
1.529108583,1,0
1.529182792,0,0
1.529339000,0,1
1.529979917,0,0
1.531452250,1,0
1.531526458,0,0
1.531682958,0,1
1.532323917,0,0
1.533796042,1,0
1.533870250,0,0
1.534026583,0,1
1.534667458,0,0
1.536139708,1,0
1.536213958,0,0
1.536370333,0,1
1.537011250,0,0
1.538483333,1,0
1.538557542,0,0
1.538713708,0,1
1.539354667,0,0
1.540827083,1,0
1.540901292,0,0
1.541057625,0,1
1.541698417,0,0
1.543170708,1,0
1.543244917,0,0
1.543401167,0,1
1.544042042,0,0
1.545514500,1,0
1.545588708,0,0
1.545745000,0,1
1.546385875,0,0
1.547858167,1,0
1.547932375,0,0
1.548088542,0,1
1.548729167,0,0
1.550201792,1,0
1.550276000,0,0
1.550432167,0,1
1.551073083,0,0
1.552545542,1,0
1.552619750,0,0
1.552776000,0,1
1.553417083,0,0
1.554889167,1,0
1.554963375,0,0
1.555119750,0,1
1.555760667,0,0
1.557232875,1,0
1.557307125,0,0
1.557463125,0,1
1.558104083,0,0
1.559576583,1,0
1.559650792,0,0
1.559807000,0,1
1.560447833,0,0
1.561920333,1,0
1.561994583,0,0
1.562151042,0,1
